DATE,AVG_LP100K,DISTANCE,AVG_SPEED,FUEL,AVG_LOAD,DURATION,IDLE_TIME
2017-02-25 12:49:01.372129,8.62076205549,4,18.7107790822,0.44309451877,40.8445811622,941,207
2017-02-25 13:09:45.796157,12.8384135239,2,17.5270935961,0.238732209383,33.509127789,411,56
2017-02-26 12:27:42.852491,13.631641,2,16.6869158879,0.262566489257,43.3993036467,433,64
2017-02-26 12:56:49.198050,13.1711789963,2,18.7786666667,0.229721973918,34.5537254902,381,45
2017-02-26 16:40:14.776126,9.85944790602,14,29.1583143508,1.26279708665,36.2579838313,1762,164
2017-02-26 17:11:24.459690,7.33800775115,3,18.4188626907,0.341585208434,25.2598039216,723,34
2017-02-26 17:28:05.809777,9.71749825678,3,27.4623655914,0.326191350075,36.449504533,469,61
2017-02-27 08:58:19.808316,5.51347285187,295,87.1566314748,15.2542754983,53.2973004444,12138,484
2017-02-27 12:26:35.888190,8.10240477465,3,36.8571428571,0.275794442809,39.937254902,355,26
2017-02-27 16:20:14.154550,7.21551227028,56,36.6950199927,4.21215836331,39.3947624496,5508,1475
2017-02-28 04:37:47.895241,5.33176051017,8,26.4054054054,0.618035553887,49.2167461579,1115,412
2017-02-28 04:57:40.790030,5.50664724612,42,67.2037533512,2.16302086561,63.1756295011,2244,146
2017-02-28 14:25:27.747833,9.7966697311,2,26.9393939394,0.202914921175,39.0953654189,257,23
2017-02-28 14:33:55.221687,9.09480737347,2,21.4664804469,0.247630016994,36.9722861212,342,88
2017-02-28 16:37:12.961784,6.79428394236,51,43.2488185255,3.53957965758,39.7211720227,4216,1050
2017-02-28 23:08:50.037216,6.8556916245,8,44.4725738397,0.503900039108,51.1442045172,694,56
2017-02-28 23:32:30.239984,6.78547909546,9,41.7835820896,0.548798008142,47.0231729055,787,94
2017-03-01 03:17:30.557057,5.12733756954,51,52.8902085747,2.64798135868,49.2484038807,3436,682
2017-03-01 16:31:44.067011,7.35152113824,51,35.8795862607,3.82990213171,37.6130780181,5108,1547
2017-03-02 04:38:32.919381,10.9205807751,36,52.6256,2.11924338542,54.1989019608,2472,462
2017-03-02 05:23:16.106851,10.8626372548,14,46.9254937163,0.827436087652,49.4723131622,1098,121
2017-03-02 16:52:43.568559,16.2687657892,51,53.742189781,3.08606550304,38.5989981394,3409,512
2017-03-02 18:03:22.895312,22.5091065111,0,3.14457831325,0.0242817692477,27.2761634774,60,24
2017-03-02 21:33:42.778624,18.2758315528,1,30.5509259259,0.14146667937,53.9887436456,210,29
2017-03-02 21:41:28.731579,8.51129138631,2,34.3345864662,0.158554224902,45.2779006339,249,27
